,Question,Option A,Option B,Option C,Option D
29,PAC stands for ____________.,A.Probabilistic Approximation Condition,B.Probably Approximately Correct,C.Partially Accurate Classification,D.Predefined Accuracy Criterion
30,Which of the following is not a part of machine learning?,A.Supervised learning,B.Reinforcement learning,C.Unsupervised learning,D.Deep learning
31,What does K stand for in the K-means algorithm?,A.Kernels,B.Key features,C.Knowledge,D.Number of clusters
32,In clustering method which takes care of variance in dat,A.a. K-means clustering,B.DBSCAN,C.Agglomerative clustering,D.Mean shift clustering
33,Which of the following terms is used in machine learning algorithms to build a model based sample data?,A.Training set,B.Validation set,C.Testing set,D.Hyperparameters
34,Which of the following does not belong to supervised learning?,A.Linear regression,B.Support vector machines,C.K-nearest neighbors,D.k-means clustering
35,What is unsupervised learning?,A.Learning without a teacher or labels,B.Learning with a teacher providing labels,C.Learning with reinforcement signals,D.Learning with both labeled and unlabeled data
36,Which of the following is not a machine learning algorithm?,A.Random forest,B.Logistic regression,C.Decision tree,D.Binary search
37,Which of the following is not belong to machine learning?,A.Rule-based systems,B.Expert systems,C.Genetic algorithms,D.Decision trees
38,Which of the methods is used for trainControl resampling.,A.K-fold cross-validation,B.Grid search,C.Gradient descent,D.Principal component analysis
39,Choose the one that produces the most popular graph kinds.,A.Matplotlib,B.Scikit-learn,C.TensorFlow,D.PyTorch
40,"What is the name of the procedure, where a machine learning model’s parameters are changed to enhance its performance on a training dataset?",A.Feature engineering,B.Model evaluation,C.Model training,D.Model optimization
41,What is bagging in ensemble learning?,A.Combining multiple models by averaging their predictions,B.Training multiple models independently on different subsets of the training data,C.Using a single model to make predictions,D.None of the above
42,Which of the following is a disadvantage of decision trees?,A.Prone to overfitting,B.Difficulty in handling continuous data,C.Lack of interpretability,D.None of the above
43,Which statement is true for Machine Learning?,A.It is a field of study within computer science,B.It involves developing algorithms that can learn from and make predictions or decisions based on data,"C.It is used in various applications such as image recognition, natural language processing, and recommendation systems",D.All of the above
44,Which of the following machine learning techniques helps to detect outliers in data?,A.Principal Component Analysis (PCa.,B.Support Vector Machines (SVM),C.k-Nearest Neighbors (k-NN),D.Linear Regression
45,__________ is ignored by the FIND-S algorithm.,A.Noise in the data,B.Attributes not present in the training data,C.Incomplete training data,D.All of the above
46,Select the correct definition of neuro software.,A.Software used for simulating neural networks,B.Software used for natural language processing,C.Software used for data visualization,D.Software used for speech recognition
47,What are the backpropagation rule’s restrictions from the following.,A.It can get stuck in local optima,B.It requires labeled training data,C.It can be computationally expensive for large networks,D.All of the above
48,The important stage of a genetic algorithm is ____________.,A.Selection,B.Crossover,C.Mutation,D.Fitness evaluation
49,Which of the following types of problems related to machine learning are frequently encountered?,A.Classification,B.Regression,C.Clustering,D.All of the above
50,What is regression ___________.,A.Regression is a type of supervised learning.,"B.In regression, the target variable is discrete.",C.Regression is used to predict continuous values.,D.Linear regression is a popular regression algorithm.
51,Identify the successful applications of machine learning.,A.Image recognition,B.Natural language processing,C.Fraud detection,D.All of the above
52,Look for the numerical functions in the various machine learning functions that are erroneous.,A.Activation functions,B.Loss functions,C.Cost functions,D.Evaluation functions
